Time,Var,Value,EPU
W_199818,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003013997,MAB
W_199819,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.006294205,GOM
W_199819,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01414851,GB
W_199819,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.05160738,MAB
W_199820,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.007330769,GOM
W_199820,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01084629,GB
W_199820,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02955576,MAB
W_199821,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.001774031,GOM
W_199821,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002457218,GB
W_199821,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03058784,MAB
W_199822,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01276233,GOM
W_199822,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002029156,GB
W_199822,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01178119,MAB
W_199823,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01368752,GOM
W_199823,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002748101,GB
W_199823,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0164811,MAB
W_199824,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02264188,GOM
W_199824,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.004533648,GB
W_199824,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008361498,MAB
W_199825,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02935226,GOM
W_199825,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009269363,GB
W_199825,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01746976,MAB
W_199826,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.05756129,GOM
W_199826,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.04070229,GB
W_199826,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.003646041,MAB
W_199827,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.04901458,GOM
W_199827,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02957652,GB
W_199827,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01439904,MAB
W_199828,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.008658618,GOM
W_199828,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.000376716,GB
W_199828,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008808646,MAB
W_199829,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.001493813,GOM
W_199829,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.0125412,GB
W_199829,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008089207,MAB
W_199830,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.001754009,GOM
W_199830,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004435205,GB
W_199830,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004977074,MAB
W_199831,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.009891237,GOM
W_199831,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.006834127,GB
W_199831,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.001520493,MAB
W_199832,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009090405,GOM
W_199832,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01237101,GB
W_199832,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003758604,MAB
W_199833,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.008961519,GOM
W_199833,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.005633947,GB
W_199833,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.001591014,MAB
W_199834,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.003463183,GOM
W_199834,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007417571,GB
W_199834,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.005040735,MAB
W_199835,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02194472,GOM
W_199835,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009314544,GB
W_199835,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01234937,MAB
W_199836,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01892697,GOM
W_199836,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.00981045,GB
W_199836,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008310995,MAB
W_199837,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01374165,GOM
W_199837,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01782002,GB
W_199837,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.003698784,MAB
W_199838,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.000802802,GOM
W_199838,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.009317504,GB
W_199838,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009921043,MAB
W_199839,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.009558062,GOM
W_199839,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01370285,GB
W_199839,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.005254636,MAB
W_199840,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.04316993,GOM
W_199840,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02716708,GB
W_199840,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.00403483,MAB
W_199841,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002091875,GOM
W_199841,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.009598364,GB
W_199841,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.03592025,MAB
W_199842,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01437092,GOM
W_199842,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02679041,GB
W_199842,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01587326,MAB
W_199843,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0163466,GOM
W_199843,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.035099,GB
W_199843,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007345396,MAB
W_199844,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02878556,GOM
W_199844,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03274565,GB
W_199844,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007401529,MAB
W_199845,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02443188,GOM
W_199845,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01996202,GB
W_199845,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004105429,MAB
W_199846,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002470277,GOM
W_199846,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.001544587,GB
W_199846,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03247814,MAB
W_199847,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.06092155,GOM
W_199847,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02288996,GB
W_199847,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.001603042,MAB
W_199848,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0462681,GOM
W_199848,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.002681775,GB
W_199848,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03064431,MAB
W_199849,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01272486,GOM
W_199849,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02071071,GB
W_199849,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01661146,MAB
W_199850,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.04826668,GOM
W_199850,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.000161629,GB
W_199850,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0285168,MAB
W_199851,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.09827895,GOM
W_199851,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.007726739,GB
W_199851,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.00719237,MAB
W_199852,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.05490208,GOM
W_199852,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01762949,GB
W_199852,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02306728,MAB
W_199901,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02205116,GOM
W_199901,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01310652,GB
W_199901,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01641481,MAB
W_199902,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0463504,GOM
W_199902,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01214181,GB
W_199902,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.0137524,MAB
W_199903,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002150402,GOM
W_199903,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003344114,GB
W_199903,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007300889,MAB
W_199904,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02430936,GOM
W_199904,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01043734,GB
W_199904,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.03661649,MAB
W_199905,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003452831,GOM
W_199905,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.004850439,GB
W_199905,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02795429,MAB
W_199906,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.001553206,GOM
W_199906,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003272346,GB
W_199906,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009423088,MAB
W_199907,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.019091,GOM
W_199907,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01383776,GB
W_199907,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007097634,MAB
W_199908,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01919461,GOM
W_199908,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.0426469,GB
W_199908,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.0135132,MAB
W_199909,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.006071848,GOM
W_199909,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02271348,GB
W_199909,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002497751,MAB
W_199910,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01808592,GOM
W_199910,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02806151,GB
W_199910,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01185775,MAB
W_199911,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01531655,GOM
W_199911,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01995753,GB
W_199911,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01574776,MAB
W_199912,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01665904,GOM
