"","Time","Var","Value","EPU","Units"
"205","W_199844","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02878556,"GOM",NA
"206","W_199844","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.03274565,"GB",NA
"207","W_199844","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.007401529,"MAB",NA
"208","W_199845","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02443188,"GOM",NA
"209","W_199845","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01996202,"GB",NA
"210","W_199845","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.004105429,"MAB",NA
"211","W_199846","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.002470277,"GOM",NA
"212","W_199846","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.001544587,"GB",NA
"213","W_199846","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.03247814,"MAB",NA
"214","W_199847","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.06092155,"GOM",NA
"215","W_199847","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02288996,"GB",NA
"216","W_199847","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.001603042,"MAB",NA
"217","W_199848","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.0462681,"GOM",NA
"218","W_199848","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.002681775,"GB",NA
"219","W_199848","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.03064431,"MAB",NA
"220","W_199849","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01272486,"GOM",NA
"221","W_199849","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02071071,"GB",NA
"222","W_199849","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01661146,"MAB",NA
"223","W_199850","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.04826668,"GOM",NA
"224","W_199850","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.0001616288,"GB",NA
"225","W_199850","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.0285168,"MAB",NA
"226","W_199851","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.09827895,"GOM",NA
"227","W_199851","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.007726739,"GB",NA
"228","W_199851","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.00719237,"MAB",NA
"229","W_199852","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.05490208,"GOM",NA
"230","W_199852","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01762949,"GB",NA
